label,category,subject,body
spam,spam_promotional,"Buy Luxury Watches at 90% Discount - Rolex, Omega, Tag Heuer","Best replica and designer luxury watches on clearance sale! Rolex Submariner, Daytona, Omega Speedmaster at unbelievable low prices. Free luxury gift box included. Click here to view catalog and claim promo code SALE90!"
spam,spam_promotional,"Cheap Pharmacy Online - Viagra, Cialis, Antibiotics No Prescription","Save up to 85% on top rated brand medications. Fast discreet delivery worldwide directly to your doorstep. No doctor prescription needed. Safe and secure checkout with credit card or Bitcoin."
spam,spam_promotional,"Increase Your Website Traffic by 500% with Our SEO Package","Dear Website Owner, We noticed your website is ranking low on Google search results. Our premium SEO and backlink blasting service will rank your domain on page 1 within 30 days! Contact us today for special package deals!"
spam,spam_promotional,"Earn $5,000 Weekly Working from Home Part Time!","Exciting opportunity to earn money online! Simple data entry and email processing tasks from home. No experience needed. Start earning immediately. Deposit $50 starter kit to receive instant access to job portal."
spam,spam_promotional,"Crypto Investment Opportunity - 300% Guaranteed Weekly Return","Join the elite cryptocurrency automated trading bot club. Invest $500 in Bitcoin and earn guaranteed $1,500 every 7 days through algorithmic arbitrage. Zero risk, 100% passive income. Register your wallet now!"
spam,spam_promotional,"Casino Free Spins and $500 Welcome Bonus Deposit Match","Claim your 200 free spins and 100% deposit match bonus today at Royal Casino! Play hundreds of slots, blackjack, roulette, and win real jackpots. Play now and hit the big payout!"
spam,spam_promotional,"Clearance Sale: 80% Off Designer Handbags and Shoes","Final summer warehouse clearance! Authentic designer bags, shoes, and sunglasses at fraction of retail price. Limited quantities available. Shop now before inventory runs out!"
phishing,phishing_credential,"URGENT: Your Microsoft Office 365 Account Will Be Terminated!","Dear User, Your Office 365 password will expire in 24 hours. Failure to update your security credentials immediately will result in permanent account suspension and mailbox deactivation. Click here to verify your password and maintain access: http://login-microsoft-secure-auth.xyz/verify"
phishing,phishing_banking,"SECURITY ALERT: Unauthorized Login Attempt on Your Bank Account","Dear Customer, We detected an unusual sign-in attempt to your online banking profile from an unrecognized IP address (Moscow, Russia). To secure your funds and prevent temporary account lock, verify your identity and debit card details immediately: http://192.168.1.105/chase-online/security-verify.php"
phishing,phishing_credential,"PayPal: Your Account Has Been Limited Due to Suspicious Activity","We have temporarily restricted your PayPal account because of unusual payment activity. To restore full access, confirm your personal information, card number, and security questions within 12 hours: http://paypal-account-resolution-center.top/login.html"
phishing,phishing_credential,"Google Security Alert: Critical Security Vulnerability Detected","Google detected suspicious unauthorized activity on your Google Workspace account. Someone attempted to access your emails from Firefox on Linux. Click the button below to review security logs and reset your password immediately: http://accounts-google-verify-auth.club/signin"
phishing,phishing_urgency,"Apple ID Locked: Unauthorized Purchase of iPhone 15 Pro Max","Your Apple ID was used to purchase an iPhone 15 Pro Max for $1,199.00 on the Apple Online Store. If you did not authorize this transaction, click here immediately to cancel the order and secure your Apple ID: http://appleid-security-cancel-order.cc/auth"
phishing,phishing_urgency,"DocuSign: Action Required - Signature Requested for Contract","You have received a secure document via DocuSign from Legal Department: 'Employee Termination Agreement & Severance Policy'. Please review and electronically sign this confidential document before 5:00 PM today: http://docusign-secure-document-portal.buzz/view?id=8492"
phishing,phishing_banking,"Netflix: Payment Declined - Update Your Billing Information Now","We were unable to process your monthly subscription payment for Netflix. Your membership will be cancelled and access will be suspended within 24 hours. Update your credit card details immediately to keep watching: http://netflix-billing-update-service.tk/billing"
phishing,phishing_credential,"IT Helpdesk: Mandatory Password Reset for All Company Staff","All staff members are required to migrate their corporate email credentials to the new secure SSO multi-factor portal. Enter your current username, password, and cell phone number to complete the migration: http://company-it-sso-portal.ga/login"
phishing,phishing_urgency,"Internal Revenue Service: You Have an Unclaimed Tax Refund of $1,450.00","IRS Notification: After the last annual calculation of your fiscal activity, we have determined that you are eligible to receive a tax refund of $1,450.00. Submit your tax refund form and direct deposit banking details here: http://irs-tax-refund-claim-portal.work/submit"
phishing,phishing_credential,"Amazon Security Notice: Your Account Has Been Suspended","Dear Customer, We noticed suspicious login activity and unauthorized orders placed on your Amazon account. For your protection, your account has been locked. Verify your billing address and credit card details now to unlock: http://amazon-account-verification-alert.ml/signin"
phishing,phishing_banking,"Wells Fargo Alert: Wire Transfer Pending Your Authorization","A wire transfer of $4,850.00 to an offshore account is currently pending approval on your checking account. If you did not initiate this wire, click here immediately to cancel and secure your account: http://wellsfargo-fraud-prevention-desk.gq/cancel-wire"
phishing,phishing_credential,"Dropbox: You have been shared a confidential folder 'Q4 Financials'","John from Finance shared 'Confidential_Executive_Salaries_2026.xlsx' with you on Dropbox. Click the link to view the spreadsheet. You must log in with your email password to decrypt the folder: http://dropbox-shared-file-download.cf/login"
phishing,phishing_urgency,"FedEx Tracking: Delivery Exception - Address Verification Required","Your FedEx shipment #FDX992819 could not be delivered due to an incomplete delivery address. A package handling fee of $2.99 is required. Update your shipping address and pay the fee here to schedule redelivery: http://fedex-package-reschedule-delivery.top/track"
phishing,phishing_credential,"LinkedIn: You have 7 unread messages from Recruiters","You have received 7 new connection requests and confidential job offers from Google, Meta, and Amazon. Click here to log in with your credentials and view the recruiter messages: http://linkedin-messages-inbox-connect.xyz/view"
